167.71.199.68 - - [02/Feb/2025:14:25:59 +0000] "GET /website/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:25:59 +0000] "GET /wp/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:25:59 +0000] "GET /news/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:26:00 +0000] "GET /2020/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:26:00 +0000] "GET /2019/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:26:01 +0000] "GET /shop/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:26:01 +0000] "GET /wp1/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:26:02 +0000] "GET /test/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:26:02 +0000] "GET /wp2/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:26:03 +0000] "GET /site/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:26:03 +0000] "GET /cms/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
167.71.199.68 - - [02/Feb/2025:14:26:04 +0000] "GET /sito/wp-includes/wlwmanifest.xml HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36" "167.71.199.68"
1.47.131.21 - - [02/Feb/2025:14:26:34 +0000] "GET / HTTP/1.1" 404 3654 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "1.47.131.21"
1.47.131.21 - - [02/Feb/2025:14:26:35 +0000] "GET /api/auth/session/ HTTP/1.1" 401 58 "https://pmcs.site/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "1.47.131.21"
1.47.131.21 - - [02/Feb/2025:14:26:36 +0000] "GET /_vercel/insights/script.js HTTP/1.1" 404 3667 "https://pmcs.site/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "1.47.131.21"
1.47.131.21 - - [02/Feb/2025:14:26:36 +0000] "POST /api/auth/_log HTTP/1.1" 200 27 "https://pmcs.site/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "1.47.131.21"
